////////////////////////////////////////////////////////////////////
SOLUTION = long03;
////////////////////////////////////////////////////////////////////
LU_HAO,  240;


////////////////////////////////////////////////////////////////////
ASSIGNMENTS = 740;
////////////////////////////////////////////////////////////////////
2010-01-01, 33, D;
2010-01-01, 34, N;
2010-01-01, 39, L;
2010-01-01, 43, D;
2010-01-01, 42, L;
2010-01-01, 40, L;
2010-01-01, 25, L;
2010-01-01, 26, E;
2010-01-01, 27, N;
2010-01-01, 29, D;
2010-01-01, 2, E;
2010-01-01, 0, E;
2010-01-01, 7, L;
2010-01-01, 30, L;
2010-01-01, 6, N;
2010-01-01, 5, E;
2010-01-01, 32, D;
2010-01-01, 4, E;
2010-01-01, 31, E;
2010-01-01, 9, DH;
2010-01-01, 19, D;
2010-01-01, 17, E;
2010-01-01, 14, L;
2010-01-01, 11, L;
2010-01-01, 12, E;
2010-01-01, 20, DH;
2010-01-01, 48, N;
2010-01-01, 45, N;
2010-01-01, 10, N;
2010-01-02, 34, E;
2010-01-02, 39, E;
2010-01-02, 43, E;
2010-01-02, 41, L;
2010-01-02, 40, N;
2010-01-02, 27, N;
2010-01-02, 2, E;
2010-01-02, 0, L;
2010-01-02, 7, E;
2010-01-02, 30, L;
2010-01-02, 6, DH;
2010-01-02, 5, L;
2010-01-02, 32, D;
2010-01-02, 4, E;
2010-01-02, 9, D;
2010-01-02, 19, L;
2010-01-02, 15, L;
2010-01-02, 20, N;
2010-01-02, 48, D;
2010-01-02, 10, N;
2010-01-03, 34, E;
2010-01-03, 39, E;
2010-01-03, 43, E;
2010-01-03, 41, L;
2010-01-03, 40, N;
2010-01-03, 27, N;
2010-01-03, 2, E;
2010-01-03, 0, L;
2010-01-03, 7, E;
2010-01-03, 30, L;
2010-01-03, 6, DH;
2010-01-03, 5, L;
2010-01-03, 32, D;
2010-01-03, 4, E;
2010-01-03, 9, D;
2010-01-03, 19, L;
2010-01-03, 15, L;
2010-01-03, 20, N;
2010-01-03, 48, D;
2010-01-03, 10, N;
2010-01-04, 35, E;
2010-01-04, 39, L;
2010-01-04, 37, D;
2010-01-04, 38, N;
2010-01-04, 43, N;
2010-01-04, 40, N;
2010-01-04, 22, N;
2010-01-04, 23, E;
2010-01-04, 24, L;
2010-01-04, 25, E;
2010-01-04, 29, D;
2010-01-04, 3, E;
2010-01-04, 2, D;
2010-01-04, 1, DH;
2010-01-04, 0, L;
2010-01-04, 30, L;
2010-01-04, 6, N;
2010-01-04, 31, E;
2010-01-04, 19, DH;
2010-01-04, 17, E;
2010-01-04, 14, L;
2010-01-04, 11, N;
2010-01-04, 12, L;
2010-01-04, 20, L;
2010-01-04, 45, E;
2010-01-04, 44, E;
2010-01-04, 47, L;
2010-01-04, 46, D;
2010-01-04, 10, D;
2010-01-05, 36, L;
2010-01-05, 34, E;
2010-01-05, 37, N;
2010-01-05, 42, D;
2010-01-05, 41, E;
2010-01-05, 26, N;
2010-01-05, 27, D;
2010-01-05, 28, L;
2010-01-05, 3, N;
2010-01-05, 2, E;
2010-01-05, 1, L;
2010-01-05, 0, DH;
2010-01-05, 30, N;
2010-01-05, 5, E;
2010-01-05, 32, N;
2010-01-05, 4, D;
2010-01-05, 31, D;
2010-01-05, 9, L;
