////////////////////////////////////////////////////////////////////
SOLUTION = medium_late04;
////////////////////////////////////////////////////////////////////
LU_HAO,  35;


////////////////////////////////////////////////////////////////////
ASSIGNMENTS = 416;
////////////////////////////////////////////////////////////////////
2010-01-01, 15, N;
2010-01-01, 13, N;
2010-01-01, 12, L;
2010-01-01, 21, D;
2010-01-01, 23, L;
2010-01-01, 24, L;
2010-01-01, 25, L;
2010-01-01, 3, E;
2010-01-01, 10, L;
2010-01-01, 0, D;
2010-01-01, 7, E;
2010-01-01, 6, N;
2010-01-01, 5, E;
2010-01-01, 9, E;
2010-01-01, 8, E;
2010-01-02, 15, L;
2010-01-02, 13, L;
2010-01-02, 12, N;
2010-01-02, 25, N;
2010-01-02, 3, E;
2010-01-02, 10, L;
2010-01-02, 0, E;
2010-01-02, 7, E;
2010-01-02, 6, L;
2010-01-02, 5, D;
2010-01-02, 8, E;
2010-01-03, 15, L;
2010-01-03, 13, L;
2010-01-03, 12, N;
2010-01-03, 25, N;
2010-01-03, 3, E;
2010-01-03, 10, L;
2010-01-03, 0, E;
2010-01-03, 7, E;
2010-01-03, 6, L;
2010-01-03, 5, D;
2010-01-03, 8, E;
2010-01-04, 19, E;
2010-01-04, 17, E;
2010-01-04, 18, L;
2010-01-04, 15, L;
2010-01-04, 16, E;
2010-01-04, 13, N;
2010-01-04, 14, E;
2010-01-04, 11, L;
2010-01-04, 12, L;
2010-01-04, 20, D;
2010-01-04, 22, L;
2010-01-04, 27, D;
2010-01-04, 3, L;
2010-01-04, 2, E;
2010-01-04, 10, L;
2010-01-04, 1, E;
2010-01-04, 0, E;
2010-01-04, 7, D;
2010-01-04, 6, N;
2010-01-04, 5, L;
2010-01-04, 4, D;
2010-01-04, 9, E;
2010-01-04, 8, N;
2010-01-05, 19, D;
2010-01-05, 17, N;
2010-01-05, 18, L;
2010-01-05, 16, E;
2010-01-05, 14, E;
2010-01-05, 11, L;
2010-01-05, 12, L;
2010-01-05, 20, E;
2010-01-05, 22, N;
2010-01-05, 27, L;
2010-01-05, 28, E;
2010-01-05, 2, L;
2010-01-05, 1, N;
2010-01-05, 4, D;
2010-01-05, 9, E;
2010-01-06, 19, D;
2010-01-06, 16, E;
2010-01-06, 14, N;
2010-01-06, 11, L;
2010-01-06, 21, E;
2010-01-06, 22, L;
2010-01-06, 23, L;
2010-01-06, 24, E;
2010-01-06, 28, E;
2010-01-06, 29, E;
2010-01-06, 2, N;
2010-01-06, 1, L;
2010-01-06, 4, L;
2010-01-06, 9, D;
2010-01-07, 19, L;
2010-01-07, 13, E;
2010-01-07, 14, N;
2010-01-07, 11, N;
2010-01-07, 21, D;
2010-01-07, 22, L;
2010-01-07, 23, L;
2010-01-07, 24, D;
2010-01-07, 26, E;
2010-01-07, 28, E;
2010-01-07, 29, E;
2010-01-07, 3, E;
2010-01-07, 2, L;
2010-01-07, 1, L;
2010-01-07, 4, N;
2010-01-08, 13, E;
2010-01-08, 11, L;
2010-01-08, 12, E;
2010-01-08, 25, E;
2010-01-08, 26, L;
2010-01-08, 29, L;
2010-01-08, 3, D;
2010-01-08, 2, N;
2010-01-08, 1, N;
2010-01-08, 0, D;
2010-01-08, 6, E;
2010-01-08, 5, L;
2010-01-08, 4, L;
2010-01-08, 9, N;
2010-01-08, 8, E;
2010-01-09, 13, D;
2010-01-09, 12, E;
2010-01-09, 25, L;
2010-01-09, 3, E;
2010-01-09, 10, N;
2010-01-09, 0, E;
2010-01-09, 7, E;
2010-01-09, 6, N;
2010-01-09, 5, L;
2010-01-09, 9, L;
2010-01-09, 8, L;
2010-01-10, 13, D;
2010-01-10, 12, E;
2010-01-10, 25, L;
2010-01-10, 3, E;
2010-01-10, 10, N;
2010-01-10, 0, E;
2010-01-10, 7, E;
2010-01-10, 6, N;
2010-01-10, 5, L;
2010-01-10, 9, L;
2010-01-10, 8, L;
2010-01-11, 19, E;
2010-01-11, 17, D;
2010-01-11, 18, L;
2010-01-11, 15, E;
2010-01-11, 16, D;
2010-01-11, 13, E;
2010-01-11, 14, E;
2010-01-11, 21, D;
2010-01-11, 20, L;
2010-01-11, 23, E;
2010-01-11, 24, D;
2010-01-11, 25, L;
2010-01-11, 27, L;
2010-01-11, 3, N;
2010-01-11, 2, E;
2010-01-11, 10, N;
2010-01-11, 1, E;
2010-01-11, 0, E;
2010-01-11, 7, L;
2010-01-11, 5, L;
2010-01-11, 4, L;
2010-01-11, 9, N;
2010-01-11, 8, L;
2010-01-12, 19, E;
2010-01-12, 18, L;
2010-01-12, 15, D;
2010-01-12, 16, E;
2010-01-12, 14, L;
2010-01-12, 21, E;
2010-01-12, 20, L;
2010-01-12, 23, L;
2010-01-12, 24, D;
2010-01-12, 27, N;
2010-01-12, 2, E;
2010-01-12, 10, N;
2010-01-12, 1, E;
2010-01-12, 7, L;
2010-01-12, 4, N;
2010-01-13, 19, E;
2010-01-13, 11, D;
2010-01-13, 12, D;
2010-01-13, 21, E;
2010-01-13, 22, E;
2010-01-13, 23, L;
2010-01-13, 26, N;
2010-01-13, 27, L;
2010-01-13, 2, E;
2010-01-13, 10, N;
2010-01-13, 1, E;
2010-01-13, 7, L;
2010-01-13, 6, L;
2010-01-13, 4, L;
2010-01-14, 19, N;
2010-01-14, 13, D;
2010-01-14, 11, E;
2010-01-14, 12, D;
2010-01-14, 21, L;
2010-01-14, 22, L;
2010-01-14, 23, N;
2010-01-14, 26, L;
2010-01-14, 28, E;
2010-01-14, 29, N;
2010-01-14, 3, E;
2010-01-14, 2, E;
2010-01-14, 1, L;
2010-01-14, 0, E;
2010-01-14, 6, L;
2010-01-15, 17, N;
2010-01-15, 13, D;
2010-01-15, 14, E;
2010-01-15, 11, E;
2010-01-15, 12, L;
2010-01-15, 26, L;
