////////////////////////////////////////////////////////////////////
SOLUTION = sprint_hidden01;
////////////////////////////////////////////////////////////////////
LU_HAO,  32;


////////////////////////////////////////////////////////////////////
ASSIGNMENTS = 140;
////////////////////////////////////////////////////////////////////
2010-06-01, 1, E;
2010-06-01, 0, E;
2010-06-01, 7, N;
2010-06-01, 4, L;
2010-06-01, 9, L;
2010-06-02, 1, E;
2010-06-02, 0, E;
2010-06-02, 7, N;
2010-06-02, 4, L;
2010-06-02, 9, L;
2010-06-03, 3, L;
2010-06-03, 1, E;
2010-06-03, 0, E;
2010-06-03, 7, N;
2010-06-03, 4, L;
2010-06-04, 3, L;
2010-06-04, 2, N;
2010-06-04, 0, E;
2010-06-04, 7, L;
2010-06-04, 6, E;
2010-06-05, 3, L;
2010-06-05, 2, L;
2010-06-05, 0, E;
2010-06-05, 6, E;
2010-06-05, 5, N;
2010-06-06, 3, L;
2010-06-06, 2, L;
2010-06-06, 0, E;
2010-06-06, 6, E;
2010-06-06, 5, N;
2010-06-07, 2, L;
2010-06-07, 6, L;
2010-06-07, 5, N;
2010-06-07, 4, E;
2010-06-07, 8, E;
2010-06-08, 1, E;
2010-06-08, 6, L;
2010-06-08, 5, N;
2010-06-08, 4, L;
2010-06-08, 8, E;
2010-06-09, 3, E;
2010-06-09, 1, E;
2010-06-09, 6, L;
2010-06-09, 5, N;
2010-06-09, 4, L;
2010-06-10, 3, N;
2010-06-10, 2, L;
2010-06-10, 1, E;
2010-06-10, 4, L;
2010-06-10, 9, E;
2010-06-11, 3, L;
2010-06-11, 2, L;
2010-06-11, 1, E;
2010-06-11, 0, N;
2010-06-11, 9, E;
2010-06-12, 2, L;
2010-06-12, 1, E;
2010-06-12, 0, N;
2010-06-12, 7, L;
2010-06-12, 9, E;
2010-06-13, 2, L;
2010-06-13, 1, E;
2010-06-13, 0, N;
2010-06-13, 7, L;
2010-06-13, 9, E;
2010-06-14, 3, E;
2010-06-14, 0, N;
2010-06-14, 7, L;
2010-06-14, 6, E;
2010-06-14, 5, L;
2010-06-15, 3, E;
2010-06-15, 0, N;
2010-06-15, 7, L;
2010-06-15, 6, L;
2010-06-15, 4, E;
2010-06-16, 3, N;
2010-06-16, 0, L;
2010-06-16, 6, L;
2010-06-16, 4, E;
2010-06-16, 8, E;
2010-06-17, 3, L;
2010-06-17, 1, N;
2010-06-17, 6, L;
2010-06-17, 4, E;
2010-06-17, 8, E;
2010-06-18, 2, L;
2010-06-18, 1, N;
2010-06-18, 5, E;
2010-06-18, 4, L;
2010-06-18, 9, E;
2010-06-19, 2, L;
2010-06-19, 1, N;
2010-06-19, 0, E;
2010-06-19, 5, L;
2010-06-19, 9, E;
2010-06-20, 2, L;
2010-06-20, 1, N;
2010-06-20, 0, E;
2010-06-20, 5, L;
2010-06-20, 9, E;
2010-06-21, 3, E;
2010-06-21, 2, L;
2010-06-21, 0, N;
2010-06-21, 6, E;
2010-06-21, 9, L;
2010-06-22, 3, N;
2010-06-22, 0, L;
2010-06-22, 7, L;
2010-06-22, 6, E;
2010-06-22, 4, E;
2010-06-23, 3, N;
2010-06-23, 1, E;
2010-06-23, 7, L;
2010-06-23, 6, L;
2010-06-23, 4, E;
2010-06-24, 3, N;
2010-06-24, 1, E;
2010-06-24, 6, L;
2010-06-24, 5, E;
2010-06-24, 4, L;
2010-06-25, 2, N;
2010-06-25, 1, E;
2010-06-25, 5, E;
2010-06-25, 4, L;
2010-06-25, 8, L;
2010-06-26, 2, L;
2010-06-26, 1, E;
2010-06-26, 0, E;
2010-06-26, 5, N;
2010-06-26, 8, L;
2010-06-27, 2, L;
2010-06-27, 1, E;
2010-06-27, 0, E;
2010-06-27, 5, N;
2010-06-27, 8, L;
2010-06-28, 2, L;
2010-06-28, 1, E;
2010-06-28, 0, E;
2010-06-28, 5, N;
2010-06-28, 8, L;
